n,int
50,10.24
50,9.28
50,10.24
50,12.48
50,12.16
50,12.8
50,12.16
50,13.44
50,12.48
50,11.84
50,12.48
50,12.48
50,8.96
50,12.8
50,10.88
50,13.76
50,12.16
50,12.8
50,10.88
50,12.16
50,13.12
50,12.16
50,12.48
50,11.2
50,14.08
50,13.44
50,12.48
50,12.16
50,11.52
50,11.84
50,12.48
50,10.88
50,12.8
50,11.84
50,11.2
50,12.48
50,11.52
50,11.52
50,13.12
50,9.92
50,11.84
50,12.16
50,12.48
50,13.44
50,12.16
50,13.76
50,13.44
50,12.48
50,11.52
50,10.56
100,13.28
100,12.16
100,12.96
100,11.84
100,12.64
100,12.48
100,11.68
100,11.04
100,11.2
100,12.8
100,12.48
100,10.88
100,12.48
100,12.8
100,12.16
100,13.12
100,12.16
100,12
100,11.68
100,12.32
100,12
100,12
100,12.64
100,10.72
100,11.84
100,11.2
100,12
100,11.52
100,11.84
100,11.68
100,12.8
100,12.16
100,10.88
100,12.48
100,12
100,13.12
100,12.8
100,12
100,12.64
100,11.52
100,13.12
100,12.8
100,10.4
100,12.48
100,11.2
100,11.84
100,11.84
100,12.32
100,12.32
100,11.2
150,11.84
150,12.3733
150,12.9067
150,11.9467
150,11.3067
150,12.16
150,11.2
150,12.16
150,12.5867
150,12.2667
150,11.52
150,11.3067
150,12.5867
150,12.48
150,11.0933
150,12.3733
150,11.6267
150,11.3067
150,11.7333
150,13.0133
150,11.84
150,11.9467
150,11.9467
150,11.7333
150,11.52
150,11.4133
150,11.7333
150,12.0533
150,11.52
150,11.9467
150,11.9467
150,12.16
150,12.0533
150,12.16
150,11.52
150,12.2667
150,11.2
150,12.3733
150,12.0533
150,12.0533
150,11.7333
150,11.52
150,12.48
150,11.0933
150,12.8
150,13.2267
150,11.6267
150,12.6933
150,11.4133
150,11.4133
200,10.96
200,12
200,11.6
200,11.84
200,11.36
200,12.08
200,12.96
200,12.32
200,11.92
200,11.76
200,11.52
200,12.4
200,11.6
200,12.4
200,12
200,11.92
200,11.6
200,11.12
200,12.48
200,11.36
200,11.12
200,11.76
200,12.32
200,12.8
200,11.6
200,12.4
200,12.48
200,12.08
200,12.4
200,12.88
200,11.2
200,11.6
200,12.4
200,11.68
200,11.92
200,12.64
200,12.16
200,11.68
200,11.6
200,12.32
200,10.8
200,12
200,12.24
200,11.84
200,12.72
200,12.32
200,11.36
