n,int
50,2.01062
50,2.01062
50,2.13628
50,1.88496
50,1.94779
100,2.19911
100,1.88496
100,1.91637
100,1.91637
100,1.94779
150,2.26195
150,1.94779
150,2.05251
150,2.15723
150,1.94779
200,2.05774
200,2.02633
200,1.99491
200,2.04204
200,1.79071
250,1.94779
250,1.91009
250,2.01062
250,2.07345
250,2.09858
300,1.9792
300,2.02109
300,1.9792
300,2.00015
300,1.98968
350,1.97472
350,1.85803
350,1.99267
350,1.90291
350,1.97472
400,1.9792
400,2.00277
400,2.01062
400,1.95564
400,2.05774
450,2.01062
450,2.10138
450,2.23402
450,1.97571
450,2.03854
500,2.01062
500,1.95407
500,2.0169
500,1.94779
500,1.9415
550,2.09059
550,1.90209
550,1.97635
550,1.95921
550,1.93065
600,2.04204
600,2.01062
600,2.11534
600,2.05774
600,2.00538
650,2.08795
650,2.01545
650,2.09278
650,1.99129
650,1.96712
700,1.96574
700,2.06448
700,2.04204
700,1.98369
700,2.05101
750,2.08183
750,2.07345
750,2.00643
750,1.84726
750,2.02737
800,1.9792
800,2.01455
800,1.99491
800,1.9792
800,2.02633
850,1.98475
850,2.0254
850,1.9404
850,1.94409
850,1.9367
900,1.95477
900,2.056
900,2.02109
900,2.02458
900,1.96175
950,2.00731
950,1.99739
950,2.09329
950,1.94117
950,1.91802
1000,2.02633
1000,1.92894
1000,1.91637
1000,1.98549
1000,1.9635
1050,1.93582
1050,1.87598
1050,2.04652
1050,1.9448
1050,1.99865
1100,2.01919
1100,1.95921
1100,1.98777
1100,2.0506
1100,1.94208
1150,1.96964
1150,2.01335
1150,1.97784
1150,1.97237
1150,1.99696
1200,2.02633
1200,2.03942
1200,2.03156
1200,1.98182
1200,1.98968
1250,1.9503
1250,2.03324
1250,1.94779
1250,1.94779
1250,2.01565
1300,2.0082
1300,1.96954
1300,2.0082
1300,1.93812
1300,1.96954
1350,1.992
1350,2.03389
1350,2.02691
1350,1.9664
1350,2.00597
1400,1.98369
1400,1.98369
1400,2.04877
1400,2.03979
1400,2.01062
1450,2.07562
1450,1.97162
1450,2.02579
1450,2.00629
1450,2.03879
1500,1.95198
1500,2.04204
1500,2.02947
1500,1.98549
1500,2.00643
1550,2.01873
1550,2.01467
1550,1.96603
1550,2.01265
1550,2.01265
1600,1.9792
1600,1.97528
1600,1.99098
1600,1.88888
1600,1.97724
1650,2.02585
1650,1.9516
1650,2.01062
1650,2.07916
1650,2.06203
1700,1.96812
1700,1.94594
1700,1.99214
1700,1.99214
1700,1.9866
1750,1.99985
1750,1.97112
1750,1.9801
1750,1.94599
1750,1.98549
1800,2.01935
1800,1.96699
1800,1.99142
1800,2.01411
1800,1.99317
1850,1.99873
1850,1.9393
1850,2.04458
1850,1.97496
1850,2.06156
1900,2.03707
1900,1.98747
1900,1.96102
1900,2.00235
1900,2.02715
1950,2.02834
1950,2.08151
1950,1.94618
1950,1.94134
1950,2.0219
2000,1.99334
2000,2.04832
2000,1.96035
2000,2.00905
2000,2.02161
2050,1.96924
2050,1.99376
2050,2.02441
2050,1.99376
2050,2.00296
2100,2.054
2100,2.00763
2100,2.0166
2100,2.00015
2100,1.95976
2150,2.04715
2150,1.99455
2150,2.05738
2150,2.00916
2150,1.98578
2200,2.07202
2200,1.93208
2200,2.05203
2200,1.91066
2200,2.00062
2250,1.97571
2250,2.02039
2250,2.03575
2250,2.02598
2250,1.99107
2300,1.99423
2300,1.97647
2300,2.02291
2300,2.00242
2300,2.01608
2350,2.06276
2350,2.05072
2350,2.01597
2350,2.02934
2350,1.99591
2400,2.01324
2400,1.9936
2400,1.96611
2400,2.05251
2400,1.9635
2450,1.97343
2450,1.96317
2450,1.98497
2450,2.02216
2450,1.98113
2500,2.01062
2500,2.06591
2500,1.97795
2500,2.04329
2500,2.01313
2550,1.95518
2550,1.98228
2550,1.99091
2550,1.97736
2550,2.02787
2600,1.98041
2600,2.00216
2600,1.98404
2600,1.98524
2600,2.03479
2650,1.97624
2650,1.98335
2650,2.0201
2650,1.95134
2650,1.95846
2700,2.01178
2700,1.99898
2700,2.01644
2700,1.99433
2700,1.95361
2750,2.01062
2750,2.06774
2750,1.98206
2750,2.00948
2750,1.97178
2800,2.01735
2800,1.99379
2800,1.9994
2800,2.02296
2800,2.01174
2850,2.01062
2850,1.99298
2850,2.00731
2850,1.9544
2850,2.04259
2900,2.01929
2900,2.01387
2900,1.96945
2900,2.00195
2900,1.9792
2950,1.9989
2950,1.98187
2950,2.0234
2950,1.99997
2950,1.97761
3000,1.98444
3000,1.99805
3000,2.00852
3000,2.00119
3000,1.98863
3050,2.01886
3050,1.99929
3050,2.00753
3050,1.98384
3050,2.03534
3100,1.99542
3100,2.04305
3100,1.97718
3100,2.01569
3100,2.02177
3150,2.05051
3150,1.99765
3150,2.02059
3150,1.97771
3150,1.99067
3200,1.96448
3200,1.98804
3200,1.98313
3200,1.98117
3200,2.00473
3250,1.94972
3250,1.98355
3250,2.03092
3250,1.99902
3250,2.06378
3300,1.98396
3300,1.98587
3300,2.03156
3300,2.01824
3300,2.03823
3350,2.02562
3350,2.01718
3350,1.98999
3350,1.98624
3350,2.01437
3400,1.99122
3400,1.9792
3400,1.97181
3400,1.96165
3400,2.00877
3450,2.05979
3450,1.97966
3450,2.02337
3450,1.98694
3450,1.95234
3500,1.96035
3500,1.9801
3500,1.99356
3500,1.981
3500,2.04204
3550,1.97788
3550,2.04071
3550,2.00796
3550,1.98407
3550,1.97434
3600,2.03244
3600,1.97309
3600,2.02895
3600,1.99491
3600,2.01236
3650,1.99857
3650,2.02181
3650,2.05796
3650,1.98308
3650,1.93574
3700,1.99534
3700,1.92401
3700,2.02251
3700,1.98345
3700,2.02336
3750,1.98465
3750,1.98968
3750,2.03743
3750,1.98968
3750,2.01481
3800,2.00897
3800,2.01062
3800,2.0131
3800,2.0594
3800,1.97176
3850,2.01144
3850,1.99104
3850,1.99348
3850,2.0196
3850,1.9739
3900,2.02834
3900,1.96954
3900,1.99129
3900,2.0227
3900,2.03962
3950,1.97006
3950,1.97801
3950,2.01301
3950,2.01221
3950,1.98437
4000,2.01769
4000,2.02397
4000,1.97292
4000,1.96585
4000,1.95957
4050,1.98037
4050,1.96873
4050,1.96873
4050,2.01915
4050,1.98269
4100,1.99913
4100,1.96541
4100,1.95545
4100,2.00219
4100,2.00449
4150,2.03257
4150,2.04544
4150,1.99775
4150,2.01668
4150,1.97125
4200,2.00015
4200,2.01436
4200,2.02259
4200,2.01436
4200,1.99416
4250,1.97883
4250,1.99731
4250,2.0291
4250,1.98401
4250,2.0328
4300,1.98724
4300,2.00477
4300,2.00112
4300,1.99747
4300,2.01354
4350,2.05034
4350,1.98101
4350,1.96656
4350,1.9969
4350,2.01567
4400,1.96064
4400,2.02062
4400,2.01133
4400,1.97349
4400,1.98349
4450,1.97391
4450,2.05157
4450,2.01697
4450,2.00427
4450,2.01556
4500,1.99107
4500,2.02877
4500,2.04413
4500,2.00294
4500,2.00713
4550,1.96574
4550,2.02236
4550,2.01752
4550,2.00924
4550,2.03824
4600,1.99696
4600,2.00652
4600,2.00311
4600,2.00106
4600,2.02086
4650,2.0221
4650,1.99238
4650,2.00589
4650,1.98157
4650,2.02413
4700,2.02065
4700,1.94779
4700,2.0153
4700,2.00059
4700,2.01129
4750,2.01326
4750,1.99276
4750,1.98945
4750,1.98945
4750,2.03774
4800,2.00146
4800,1.99426
4800,1.98051
4800,2.00931
4800,2.01586
4850,2.02098
4850,2.02746
4850,1.97629
4850,2.02098
4850,1.99248
4900,2.02152
4900,2.0087
4900,1.99139
4900,1.95228
4900,2.03755
4950,1.99793
4950,2.00554
4950,1.98714
4950,2.03283
4950,1.99221
5000,1.99805
5000,1.97166
5000,2.00245
5000,2.00999
5000,1.99994
