n,int
50,0.177187
50,0.244687
50,0.185625
50,0.185625
50,0.2025
100,0.215156
100,0.2025
100,0.227813
100,0.2025
100,0.185625
150,0.208125
150,0.182813
150,0.205313
150,0.196875
150,0.208125
200,0.204609
200,0.196172
200,0.2025
200,0.223594
200,0.221484
250,0.2025
250,0.197438
250,0.212625
250,0.207562
250,0.199125
300,0.19125
300,0.195469
300,0.201094
300,0.206719
300,0.212344
350,0.201295
350,0.212143
350,0.172366
350,0.210938
350,0.201295
400,0.207773
400,0.196172
400,0.204609
400,0.197227
400,0.219375
450,0.22125
450,0.189375
450,0.190312
450,0.19875
450,0.21
500,0.193219
500,0.199969
500,0.211781
500,0.199125
500,0.192375
550,0.2025
550,0.200199
550,0.210938
550,0.204034
550,0.200966
600,0.194766
600,0.206719
600,0.204609
600,0.218672
600,0.187031
650,0.199255
650,0.204447
650,0.183678
650,0.194712
650,0.205096
700,0.198884
700,0.201295
700,0.204911
700,0.194665
700,0.192857
750,0.197438
750,0.208125
750,0.210375
750,0.203625
750,0.205313
800,0.204082
800,0.183516
800,0.206719
800,0.191426
800,0.206719
850,0.20796
850,0.206471
850,0.199522
850,0.204982
850,0.202004
900,0.206719
900,0.214219
900,0.205781
900,0.214219
900,0.180938
950,0.217155
950,0.20028
950,0.203388
950,0.191842
950,0.193618
1000,0.185625
1000,0.2025
1000,0.203766
1000,0.197438
1000,0.218953
1050,0.204509
1050,0.182411
1050,0.195268
1050,0.196071
1050,0.196875
1100,0.199048
1100,0.189077
1100,0.213622
1100,0.189844
1100,0.191378
1150,0.192962
1150,0.193696
1150,0.187459
1150,0.202867
1150,0.208736
1200,0.204609
1200,0.206719
1200,0.196523
1200,0.205313
1200,0.205313
1250,0.196762
1250,0.194738
1250,0.200475
1250,0.190688
1250,0.1998
1300,0.1853
1300,0.2025
1300,0.201526
1300,0.213209
1300,0.196659
1350,0.19
1350,0.210938
1350,0.20125
1350,0.203437
1350,0.199063
1400,0.205513
1400,0.197679
1400,0.195871
1400,0.198281
1400,0.198583
1450,0.195226
1450,0.202791
1450,0.19639
1450,0.195226
1450,0.195808
1500,0.209531
1500,0.198563
1500,0.201375
1500,0.2025
1500,0.194906
1550,0.206583
1550,0.202772
1550,0.196512
1550,0.199506
1550,0.20005
1600,0.195645
1600,0.198809
1600,0.205137
1600,0.200391
1600,0.2025
1650,0.199687
1650,0.198409
1650,0.195852
1650,0.213494
1650,0.186648
1700,0.194559
1700,0.201507
1700,0.201011
1700,0.199274
1700,0.202996
1750,0.19358
1750,0.204911
1750,0.199607
1750,0.207804
1750,0.200571
1800,0.203203
1800,0.197578
1800,0.205078
1800,0.197109
1800,0.196875
1850,0.207061
1850,0.20136
1850,0.201588
1850,0.205236
1850,0.193834
1900,0.19384
1900,0.189178
1900,0.207829
1900,0.201612
1900,0.210271
1950,0.209207
1950,0.203798
1950,0.201418
1950,0.198606
1950,0.199038
2000,0.196172
2000,0.194695
2000,0.190688
2000,0.194484
2000,0.197016
2050,0.196944
2050,0.197149
2050,0.200236
2050,0.203941
2050,0.202706
2100,0.205112
2100,0.192455
2100,0.19808
2100,0.204308
2100,0.196272
2150,0.202696
2150,0.20407
2150,0.200145
2150,0.199164
2150,0.203285
2200,0.198089
2200,0.192337
2200,0.204226
2200,0.192145
2200,0.2025
2250,0.199687
2250,0.200813
2250,0.193688
2250,0.19425
2250,0.195563
2300,0.197914
2300,0.199015
2300,0.198648
2300,0.205985
2300,0.195897
2350,0.199089
2350,0.206988
2350,0.204834
2350,0.201243
2350,0.199807
2400,0.19916
2400,0.204609
2400,0.201094
2400,0.203555
2400,0.201445
2450,0.200434
2450,0.202328
2450,0.200434
2450,0.197679
2450,0.201639
2500,0.200644
2500,0.200137
2500,0.208744
2500,0.210769
2500,0.201994
2550,0.199522
2550,0.201673
2550,0.195882
2550,0.203989
2550,0.19125
2600,0.19601
2600,0.201851
2600,0.196983
2600,0.200877
2600,0.203636
2650,0.205047
2650,0.207913
2650,0.197087
2650,0.196291
2650,0.198679
2700,0.204844
2700,0.191875
2700,0.196406
2700,0.201719
2700,0.199375
2750,0.196364
2750,0.200045
2750,0.207562
2750,0.198972
2750,0.204494
2800,0.203103
2800,0.203253
2800,0.193761
2800,0.197679
2800,0.207773
2850,0.197615
2850,0.206941
2850,0.197171
2850,0.194803
2850,0.206941
2900,0.197699
2900,0.200609
2900,0.196245
2900,0.2057
2900,0.199154
2950,0.195636
2950,0.200069
2950,0.200641
2950,0.199783
2950,0.196208
3000,0.198703
3000,0.194625
3000,0.198281
3000,0.20025
3000,0.196172
3050,0.194339
3050,0.203607
3050,0.202915
3050,0.195446
3050,0.195861
3100,0.196376
3100,0.19937
3100,0.201139
3100,0.200867
3100,0.198281
3150,0.196741
3150,0.195536
3150,0.200491
3150,0.190848
3150,0.196607
3200,0.199468
3200,0.201445
3200,0.200786
3200,0.201445
3200,0.194722
3250,0.208601
3250,0.194582
3250,0.197048
3250,0.203538
3250,0.204447
3300,0.206463
3300,0.193935
3300,0.194702
3300,0.201861
3300,0.19598
3350,0.1991
3350,0.198974
3350,0.201115
3350,0.204263
3350,0.198974
3400,0.198405
3400,0.201631
3400,0.20312
3400,0.196792
3400,0.198529
3450,0.202011
3450,0.205924
3450,0.205313
3450,0.205068
3450,0.20091
3500,0.20708
3500,0.192375
3500,0.19117
3500,0.200089
3500,0.199728
3550,0.197865
3550,0.196439
3550,0.198816
3550,0.202025
3550,0.201193
3600,0.196641
3600,0.204023
3600,0.197461
3600,0.200742
3600,0.199336
3650,0.194525
3650,0.198455
3650,0.201922
3650,0.201344
3650,0.20146
3700,0.200334
3700,0.199878
3700,0.201246
3700,0.200562
3700,0.20193
3750,0.194288
3750,0.201825
3750,0.199013
3750,0.196425
3750,0.20385
3800,0.203388
3800,0.198947
3800,0.199058
3800,0.203943
3800,0.204054
3850,0.196692
3850,0.19998
3850,0.204692
3850,0.200418
3850,0.192748
3900,0.200877
3900,0.196983
3900,0.200877
3900,0.200012
3900,0.197632
3950,0.198335
3950,0.203354
3950,0.190858
3950,0.196839
3950,0.198869
4000,0.205348
4000,0.200707
4000,0.202816
4000,0.203871
4000,0.198598
4050,0.201354
4050,0.193437
4050,0.199167
4050,0.199375
4050,0.197187
4100,0.198384
4100,0.199722
4100,0.194165
4100,0.2025
4100,0.200442
4150,0.2025
4150,0.194062
4150,0.196604
4150,0.204838
4150,0.20067
4200,0.197779
4200,0.197076
4200,0.195971
4200,0.194565
4200,0.197478
4250,0.193467
4250,0.196842
4250,0.203393
4250,0.199324
4250,0.199026
4300,0.205345
4300,0.196613
4300,0.201225
4300,0.202794
4300,0.203481
4350,0.206573
4350,0.19736
4350,0.200948
4350,0.198912
4350,0.199494
4400,0.201158
4400,0.196555
4400,0.199815
4400,0.204993
4400,0.190611
4450,0.2025
4450,0.203922
4450,0.196053
4450,0.198803
4450,0.199182
4500,0.198188
4500,0.200719
4500,0.203063
4500,0.1965
4500,0.197531
4550,0.197586
4550,0.199811
4550,0.200367
4550,0.20148
4550,0.201387
4600,0.198648
4600,0.202225
4600,0.204609
4600,0.204609
4600,0.194338
4650,0.195968
4650,0.196966
4650,0.199325
4650,0.204405
4650,0.194879
4700,0.205462
4700,0.196845
4700,0.19514
4700,0.200884
4700,0.203218
4750,0.202766
4750,0.205253
4750,0.201878
4750,0.196993
4750,0.198237
4800,0.200303
4800,0.20083
4800,0.197051
4800,0.198369
4800,0.204434
4850,0.200238
4850,0.198412
4850,0.202587
4850,0.197629
4850,0.203196
4900,0.196818
4900,0.199228
4900,0.199401
4900,0.201897
4900,0.19544
4950,0.202926
4950,0.201307
4950,0.196449
4950,0.199091
4950,0.199773
5000,0.205031
5000,0.200559
5000,0.204187
5000,0.200644
5000,0.197184
