n,int
50,12.16
50,12.48
50,12.16
50,12.48
50,12.16
100,12
100,12.16
100,12.48
100,12.64
100,11.36
150,11.52
150,10.88
150,12.48
150,12.0533
150,11.52
200,12.08
200,11.76
200,12.24
200,11.68
200,11.84
250,12.352
250,11.712
250,12.096
250,11.904
250,12.992
300,12.16
300,12.2133
300,12
300,12.3733
300,12.8
350,12.16
350,11.7486
350,12.0686
350,12.0686
350,11.6114
400,11.36
400,12.56
400,12.04
400,11.6
400,12.04
450,11.5911
450,11.8044
450,12.16
450,12.16
450,12.0533
500,11.84
500,12.032
500,11.808
500,11.872
500,12.544
550,12.5964
550,11.4327
550,11.7527
550,12.3055
550,11.9564
600,12.0267
600,11.9467
600,11.9467
600,11.92
600,12.4267
650,12.2338
650,11.7908
650,12.0123
650,12.0369
650,11.9385
700,12.3657
700,12.16
700,12.2057
700,11.3143
700,11.6571
750,12.5227
750,11.9467
750,12.16
750,11.8187
750,11.648
800,12.14
800,12.1
800,11.76
800,12.08
800,11.54
850,12.1035
850,11.8776
850,11.8212
850,12.0847
850,12.0094
900,11.84
900,12.1244
900,12.2133
900,11.84
900,12.1244
950,12.0589
950,11.9579
950,11.9074
950,11.9747
950,11.8737
1000,12.08
1000,11.84
1000,11.904
1000,12.272
1000,12.144
1050,12.3276
1050,12.0381
1050,12.0381
1050,11.9314
1050,12.2514
1100,12.2327
1100,12.1309
1100,11.8255
1100,12.1164
1100,12.0291
1150,12.1322
1150,11.7287
1150,12.3965
1150,11.8678
1150,12.313
1200,11.8267
1200,11.6533
1200,12.08
1200,12.2133
1200,11.8667
1250,12.1984
1250,12.1216
1250,11.904
1250,12.1216
1250,12.0832
1300,11.6677
1300,11.7169
1300,11.7292
1300,11.9385
1300,11.8031
1350,11.9822
1350,12.2311
1350,11.9111
1350,11.84
1350,12.2311
1400,11.7143
1400,11.7143
1400,11.9543
1400,11.6457
1400,12.1143
1450,11.9945
1450,11.8069
1450,11.7076
1450,11.7407
1450,12.16
1500,12.1493
1500,11.9573
1500,12.096
1500,11.7227
1500,11.936
1550,11.9639
1550,12.0774
1550,12.1187
1550,11.7677
1550,11.7265
1600,11.84
1600,12.01
1600,12.1
1600,11.97
1600,11.83
1650,11.8206
1650,11.743
1650,11.8012
1650,11.937
1650,11.8885
1700,12.0376
1700,12.1788
1700,12.1506
1700,11.7082
1700,12.1129
1750,12.0686
1750,11.9497
1750,12.0046
1750,12.2057
1750,11.9771
1800,12.0711
1800,12.1333
1800,11.9822
1800,11.8133
1800,11.9111
1850,12.0389
1850,12.2811
1850,11.9957
1850,11.8227
1850,11.9438
1900,12.1095
1900,11.8568
1900,12.0421
1900,11.8905
1900,11.9326
1950,12.0451
1950,11.881
1950,12.0615
1950,12.0944
1950,12.0287
2000,12.08
2000,12.136
2000,12.12
2000,11.928
2000,12.088
2050,12.0351
2050,11.9024
2050,12.0663
2050,12.2146
2050,12.1054
2100,11.8324
2100,11.8171
2100,11.8248
2100,11.8781
2100,12.0076
2150,12.1898
2150,12.026
2150,11.7656
2150,11.9591
2150,11.9591
2200,11.9636
2200,11.9564
2200,12.0218
2200,11.9491
2200,11.8255
2250,11.8827
2250,12.0604
