n,int
50,0.194062
50,0.210938
50,0.194062
50,0.219375
50,0.2025
50,0.244687
50,0.194062
50,0.118125
50,0.227813
50,0.227813
50,0.16875
50,0.177187
50,0.210938
50,0.16875
50,0.185625
50,0.194062
50,0.227813
50,0.2025
50,0.194062
50,0.16875
50,0.261562
50,0.210938
50,0.210938
50,0.219375
50,0.2025
50,0.16875
50,0.160312
50,0.244687
50,0.2025
50,0.16875
50,0.185625
50,0.253125
50,0.2025
50,0.2025
50,0.219375
50,0.261562
50,0.261562
50,0.16875
50,0.219375
50,0.143438
50,0.23625
50,0.135
50,0.210938
50,0.160312
50,0.2025
50,0.2025
50,0.16875
50,0.185625
50,0.177187
50,0.2025
100,0.198281
100,0.185625
100,0.215156
100,0.164531
100,0.219375
100,0.198281
100,0.2025
100,0.181406
100,0.219375
100,0.206719
100,0.198281
100,0.181406
100,0.215156
100,0.210938
100,0.215156
100,0.219375
100,0.198281
100,0.198281
100,0.198281
100,0.172969
100,0.189844
100,0.2025
100,0.23625
100,0.219375
100,0.160312
100,0.2025
100,0.160312
100,0.257344
100,0.215156
100,0.181406
100,0.198281
100,0.210938
100,0.219375
100,0.185625
100,0.185625
100,0.189844
100,0.198281
100,0.181406
100,0.181406
100,0.223594
100,0.160312
100,0.185625
100,0.257344
100,0.227813
100,0.172969
100,0.181406
100,0.181406
100,0.172969
100,0.227813
100,0.147656
150,0.2025
150,0.18
150,0.196875
150,0.225
150,0.216562
150,0.171563
150,0.174375
150,0.18
150,0.21375
150,0.225
150,0.23625
150,0.199687
150,0.194062
150,0.194062
150,0.19125
150,0.196875
150,0.196875
150,0.21375
150,0.230625
150,0.2025
150,0.19125
150,0.21375
150,0.185625
150,0.188438
150,0.194062
150,0.188438
150,0.2025
150,0.177187
150,0.21375
150,0.16875
150,0.222187
150,0.205313
150,0.219375
150,0.174375
150,0.188438
150,0.196875
150,0.2025
150,0.18
150,0.196875
150,0.19125
150,0.185625
150,0.250312
150,0.23625
150,0.194062
150,0.2025
150,0.208125
150,0.177187
150,0.196875
150,0.185625
150,0.188438
200,0.196172
200,0.191953
200,0.175078
200,0.185625
200,0.200391
200,0.181406
200,0.198281
200,0.206719
200,0.213047
200,0.187734
200,0.213047
200,0.198281
200,0.213047
200,0.191953
200,0.181406
200,0.213047
200,0.191953
200,0.194062
200,0.185625
200,0.206719
200,0.198281
200,0.234141
200,0.194062
200,0.170859
200,0.200391
200,0.206719
200,0.204609
200,0.210938
200,0.2025
200,0.189844
200,0.213047
200,0.204609
200,0.198281
200,0.2025
200,0.217266
200,0.194062
200,0.196172
200,0.200391
200,0.234141
200,0.229922
200,0.198281
200,0.187734
200,0.189844
200,0.183516
200,0.204609
200,0.213047
200,0.156094
200,0.191953
200,0.219375
200,0.185625
250,0.197438
250,0.2025
250,0.221062
250,0.180562
250,0.190688
250,0.205875
250,0.210938
250,0.214313
250,0.214313
250,0.22275
250,0.212625
250,0.214313
250,0.216
250,0.189
250,0.212625
250,0.187312
250,0.19575
250,0.205875
250,0.178875
250,0.185625
250,0.2295
250,0.18225
250,0.173812
250,0.185625
250,0.216
250,0.19575
250,0.204187
250,0.2025
250,0.183938
250,0.2025
250,0.2025
250,0.20925
250,0.20925
250,0.205875
250,0.173812
250,0.192375
250,0.197438
250,0.2295
250,0.192375
250,0.210938
250,0.200813
250,0.210938
250,0.200813
250,0.197438
250,0.234563
250,0.22275
250,0.2025
250,0.207562
250,0.232875
250,0.194062
300,0.216562
300,0.184219
300,0.201094
300,0.19125
300,0.208125
300,0.198281
300,0.210938
300,0.203906
300,0.199687
300,0.199687
300,0.2025
300,0.198281
300,0.201094
300,0.187031
300,0.199687
300,0.203906
300,0.192656
300,0.208125
300,0.220781
300,0.195469
300,0.21375
300,0.217969
300,0.192656
300,0.210938
300,0.188438
300,0.206719
300,0.2025
300,0.192656
300,0.2025
300,0.209531
300,0.192656
300,0.199687
300,0.215156
300,0.196875
300,0.208125
300,0.198281
300,0.21375
300,0.219375
300,0.205313
300,0.201094
300,0.206719
300,0.185625
300,0.205313
300,0.195469
300,0.212344
300,0.203906
300,0.205313
300,0.189844
300,0.208125
300,0.208125
350,0.207321
350,0.196473
350,0.198884
350,0.192857
350,0.201295
350,0.2025
350,0.212143
350,0.207321
350,0.201295
350,0.200089
350,0.203705
350,0.2025
350,0.192857
350,0.221786
350,0.208527
350,0.180804
350,0.225402
350,0.2025
350,0.196473
350,0.208527
350,0.195268
350,0.195268
350,0.203705
350,0.195268
350,0.180804
350,0.221786
350,0.2025
350,0.213348
350,0.189241
350,0.206116
350,0.198884
350,0.172366
350,0.18442
350,0.210938
350,0.209732
350,0.207321
350,0.192857
350,0.191652
350,0.200089
350,0.208527
350,0.219375
350,0.215759
350,0.208527
350,0.2025
350,0.188036
350,0.200089
350,0.2025
350,0.207321
350,0.201295
350,0.192857
400,0.201445
400,0.191953
400,0.195117
400,0.193008
400,0.215156
400,0.203555
400,0.195117
400,0.195117
400,0.207773
400,0.204609
400,0.194062
400,0.185625
400,0.204609
400,0.201445
400,0.199336
400,0.190898
400,0.193008
400,0.204609
400,0.185625
400,0.18668
400,0.215156
400,0.195117
400,0.200391
400,0.198281
400,0.208828
400,0.213047
400,0.205664
400,0.194062
400,0.198281
400,0.175078
400,0.191953
400,0.2025
400,0.18457
400,0.188789
400,0.200391
400,0.213047
400,0.181406
400,0.197227
400,0.2025
400,0.210938
400,0.201445
400,0.18668
400,0.207773
400,0.207773
400,0.2025
400,0.197227
400,0.193008
400,0.205664
400,0.200391
400,0.191953
450,0.196875
450,0.211875
450,0.190312
450,0.201563
450,0.192187
450,0.189375
450,0.194062
450,0.207187
450,0.201563
450,0.193125
450,0.192187
450,0.180938
450,0.203437
450,0.196875
450,0.186563
450,0.1875
450,0.212813
450,0.18
450,0.209063
450,0.182813
450,0.19125
450,0.200625
450,0.200625
450,0.20625
450,0.201563
450,0.180938
450,0.195937
450,0.196875
450,0.196875
450,0.16875
450,0.209063
450,0.197813
450,0.19875
450,0.200625
450,0.215625
450,0.196875
450,0.205313
450,0.209063
450,0.203437
450,0.185625
450,0.194062
450,0.192187
450,0.199687
450,0.203437
450,0.190312
450,0.185625
450,0.2025
450,0.204375
450,0.208125
450,0.2025
500,0.203344
500,0.206719
500,0.193219
500,0.194906
500,0.197438
500,0.207562
500,0.189
500,0.19575
500,0.210938
500,0.183938
500,0.188156
500,0.205875
500,0.197438
500,0.20925
500,0.18225
500,0.191531
500,0.199125
500,0.204187
500,0.211781
500,0.217688
500,0.198281
500,0.188156
500,0.19575
500,0.194062
500,0.178875
500,0.210938
500,0.198281
500,0.190688
500,0.212625
500,0.199969
500,0.203344
500,0.18225
500,0.203344
500,0.18225
500,0.2025
500,0.206719
500,0.19575
500,0.204187
500,0.199969
500,0.208406
500,0.183094
500,0.216
500,0.213469
500,0.208406
500,0.200813
500,0.186469
500,0.194906
500,0.194906
500,0.2025
500,0.196594
550,0.2025
550,0.203267
550,0.199432
550,0.205568
550,0.199432
550,0.214006
550,0.18946
550,0.190227
550,0.206335
550,0.193295
550,0.197131
550,0.196364
550,0.195597
550,0.2025
550,0.207869
550,0.19483
550,0.206335
550,0.207869
550,0.204801
550,0.2025
550,0.201733
550,0.212472
550,0.217074
550,0.209403
550,0.191761
550,0.212472
550,0.200966
550,0.18946
550,0.184858
550,0.214006
550,0.19483
550,0.203267
550,0.21554
550,0.188693
550,0.200966
550,0.211705
550,0.204801
550,0.211705
550,0.194062
550,0.204801
550,0.2025
550,0.198665
550,0.203267
550,0.194062
550,0.196364
550,0.211705
550,0.178722
550,0.196364
550,0.200966
550,0.210938
600,0.196875
600,0.193359
600,0.189844
600,0.206016
600,0.187734
600,0.207422
600,0.199687
600,0.196172
600,0.201094
600,0.208125
600,0.201797
600,0.204609
600,0.197578
600,0.194766
600,0.191953
600,0.209531
600,0.191953
600,0.195469
600,0.204609
600,0.203906
600,0.186328
600,0.198281
600,0.197578
600,0.206719
600,0.215859
600,0.201094
600,0.197578
600,0.215156
600,0.209531
600,0.198984
600,0.208125
600,0.203906
600,0.193359
600,0.196875
600,0.19125
600,0.207422
600,0.198984
600,0.19125
600,0.182813
600,0.198281
600,0.206016
600,0.192656
600,0.205313
600,0.194766
600,0.188438
600,0.196172
600,0.205313
600,0.193359
600,0.196875
600,0.194062
650,0.206394
650,0.204447
650,0.186923
650,0.190168
650,0.201851
650,0.19601
650,0.203149
650,0.201202
650,0.199904
650,0.209639
650,0.210938
650,0.200553
650,0.200553
650,0.214183
650,0.186923
650,0.194712
650,0.2025
650,0.197308
650,0.217428
650,0.195361
650,0.213534
650,0.190168
650,0.208341
650,0.211587
650,0.194712
650,0.21613
650,0.19601
650,0.206394
650,0.196659
650,0.192115
650,0.192764
650,0.20899
650,0.206394
650,0.204447
650,0.197308
650,0.203149
650,0.2025
650,0.188221
650,0.199255
650,0.19601
650,0.204447
650,0.213534
650,0.197957
650,0.206394
650,0.200553
650,0.2025
650,0.203149
650,0.18887
650,0.187572
650,0.192764
700,0.194062
700,0.195871
700,0.197076
700,0.200692
700,0.189241
700,0.210938
700,0.212143
700,0.205513
700,0.187433
700,0.194665
700,0.19346
700,0.200089
700,0.204911
700,0.197076
700,0.208527
700,0.201295
700,0.191652
700,0.19346
700,0.199487
700,0.198884
700,0.195871
700,0.190446
700,0.189844
700,0.19346
700,0.207924
700,0.200692
700,0.200089
700,0.201897
700,0.198281
700,0.200089
700,0.203103
700,0.2025
700,0.188638
700,0.191652
700,0.208527
700,0.209732
700,0.201295
700,0.188638
700,0.206116
700,0.204911
700,0.192254
700,0.198281
700,0.204911
700,0.208527
700,0.198884
700,0.174777
700,0.197679
700,0.198281
700,0.195871
700,0.203705
750,0.203063
750,0.196313
750,0.209813
750,0.203063
750,0.19575
750,0.199687
750,0.1935
750,0.201938
750,0.192937
750,0.207562
750,0.198
750,0.195188
750,0.2115
750,0.204187
750,0.206437
750,0.180562
750,0.207
750,0.21375
750,0.214875
750,0.198563
750,0.185062
750,0.195188
750,0.215438
750,0.185062
750,0.21375
750,0.210375
750,0.195188
750,0.209813
750,0.200813
750,0.201375
750,0.19125
750,0.207562
750,0.200813
750,0.189
750,0.209813
750,0.19575
750,0.194062
750,0.203063
750,0.201938
750,0.190125
750,0.188438
750,0.20025
750,0.199125
750,0.210938
750,0.208687
750,0.207562
750,0.19575
750,0.209813
750,0.194062
750,0.20025
800,0.187207
800,0.215684
800,0.198281
800,0.200391
800,0.186152
800,0.191426
800,0.199336
800,0.189316
800,0.201445
800,0.201973
800,0.191953
800,0.191953
800,0.200918
800,0.185625
800,0.196699
800,0.200391
800,0.206719
800,0.209355
800,0.204082
800,0.198809
800,0.199336
800,0.206191
800,0.201973
800,0.207246
800,0.190898
800,0.187207
800,0.203555
800,0.217266
800,0.198809
800,0.203027
800,0.201973
800,0.194062
800,0.204609
800,0.209355
800,0.18457
800,0.208301
800,0.203027
800,0.200918
800,0.197227
800,0.213047
800,0.209883
800,0.199336
800,0.187207
800,0.195117
800,0.211992
800,0.196699
800,0.19459
800,0.216738
800,0.196172
800,0.199863
850,0.195551
850,0.192077
850,0.195551
850,0.189099
850,0.181654
850,0.198033
850,0.20796
850,0.200018
850,0.199026
850,0.194062
850,0.199522
850,0.196544
850,0.206967
850,0.195551
850,0.210938
850,0.20796
850,0.206471
850,0.200515
850,0.21193
850,0.200018
850,0.199026
850,0.199522
850,0.212923
850,0.203989
850,0.196048
850,0.202996
850,0.206967
850,0.208952
850,0.204485
850,0.206967
850,0.196544
850,0.198529
850,0.203989
850,0.204485
850,0.205974
850,0.189596
850,0.206967
850,0.208952
850,0.203493
850,0.201011
850,0.196544
850,0.186121
850,0.21193
850,0.194062
850,0.199026
850,0.208456
850,0.207463
850,0.208952
850,0.209945
850,0.206471
900,0.204375
900,0.203906
