n,int
50,10.56
50,11.52
50,11.52
50,13.12
50,11.84
100,11.36
100,12.48
100,12
100,11.36
100,12.64
150,12.2667
150,12.0533
150,12.16
150,11.84
150,12.9067
200,12.16
200,12.48
200,12.64
200,11.68
200,11.6
250,12.928
250,11.904
250,12.096
250,11.904
250,12.352
300,12.1067
300,12
300,12
300,12.1067
300,12.0533
350,11.7943
350,12.16
350,12.0686
350,11.52
350,11.7943
400,11.76
400,11.8
400,12.48
400,11.92
400,12.16
450,11.8044
450,12.16
450,11.9111
450,11.6622
450,12.1244
500,12.288
500,12.256
500,12
500,12.128
500,11.68
550,12.1309
550,11.8691
550,12.0436
550,11.4036
550,11.5491
600,11.7333
600,12.32
600,12.2667
600,12.24
600,11.9733
650,12.16
650,12.7015
650,12.1108
650,11.8154
650,12.2092
700,11.8857
700,12.1143
700,11.8857
700,11.8629
700,11.6114
750,11.584
750,12.5227
750,11.6053
750,11.9893
750,12.2453
800,11.28
800,12
800,12.22
800,12.18
800,11.92
850,12.4424
850,12.3482
850,12.2729
850,11.84
850,11.8965
900,12.1067
900,12.3911
900,12.0178
900,11.8044
900,11.7867
950,11.7389
950,11.84
950,12.16
950,11.9242
950,11.7558
1000,12.224
1000,12.112
1000,11.92
1000,12.016
1000,12.208
1050,11.7333
1050,12.2667
1050,11.8095
1050,11.5962
1050,12.1295
1100,11.7382
1100,11.9564
1100,12.0727
1100,11.6945
1100,11.8109
1150,12.1878
1150,12.0626
1150,12.0626
1150,11.8957
1150,12.16
1200,12.1867
1200,11.9333
1200,12
1200,11.9333
1200,12.1867
1250,11.8656
1250,11.8272
1250,11.7504
1250,12.3008
1250,11.8912
1300,12.0862
1300,11.8154
1300,12.32
1300,12.5046
1300,11.7908
1350,11.923
1350,12.1244
1350,12.243
1350,12.0652
1350,11.9585
1400,12.2514
1400,11.9886
1400,12.2514
1400,12.2743
1400,11.9429
1450,11.9283
1450,12.0276
1450,12.0386
1450,11.7186
1450,12.0055
1500,11.936
1500,12.096
1500,11.9787
1500,12.192
1500,12.0213
1550,11.6542
1550,12.1084
1550,11.7781
1550,12.2839
1550,11.9432
1600,11.9
1600,11.91
1600,11.59
1600,12.21
1600,12.29
1650,11.9176
1650,12.0824
1650,12.1115
1650,12.2958
1650,11.8303
1700,12.2165
1700,12.2824
1700,11.6424
1700,12.0094
1700,11.6518
1750,11.9954
1750,11.648
1750,12.224
1750,11.8949
1750,12.032
1800,12.1689
1800,11.6622
1800,12.0889
1800,12.1511
1800,11.84
1850,12.2119
1850,12.0476
1850,12.0822
1850,12.2984
1850,12.0562
1900,11.8821
1900,11.9495
1900,12.2274
1900,11.9158
1900,11.6379
1950,12.0041
1950,12.0862
1950,12.201
1950,12.0697
1950,12.1846
2000,12.048
2000,11.808
2000,12.08
2000,12
2000,12.224
2050,12.1912
2050,12.1288
2050,12.16
2050,11.9883
2050,11.9415
2100,12.2362
2100,11.9543
2100,11.9543
2100,11.9467
2100,12.1143
2150,11.5274
2150,11.6688
2150,11.974
2150,11.8326
2150,11.84
2200,11.9418
2200,11.9345
2200,12.0073
2200,11.8473
2200,12.0509
2250,11.8827
2250,12.1316
2250,11.7333
2250,12.2667
2250,12.1529
2300,11.8748
2300,12.0348
2300,12
2300,11.9722
2300,12.0209
2350,11.8536
2350,11.7855
2350,11.9285
2350,11.9081
2350,11.8809
2400,11.9933
2400,11.9533
2400,12.16
2400,11.7
2400,11.8467
2450,11.8727
2450,11.6571
2450,12.1796
2450,12.1992
2450,11.938
2500,12.0064
2500,12.0256
2500,11.9296
2500,11.776
2500,12.1024
2550,11.9341
2550,12.1098
2550,11.978
2550,12.3482
2550,11.8714
2600,12.1108
2600,12.0123
2600,12.1231
2600,12.0308
2600,12.0862
2650,12.0392
2650,11.8642
2650,12.2566
2650,11.846
2650,12.1177
2700,12.0948
2700,11.9822
2700,11.9941
2700,11.8993
2700,12.1363
2750,12.0553
2750,12.0029
2750,12.0204
2750,11.7527
2750,11.8982
2800,11.9886
2800,11.8971
2800,12.12
2800,11.8914
2800,12.04
2850,12.014
2850,12.0421
2850,12.2274
2850,12.0533
2850,11.9579
2900,12.0221
2900,12
2900,12.1159
2900,12.1821
2900,11.9503
2950,12.019
2950,11.9593
2950,12.0569
2950,12.0569
2950,11.9919
3000,12.0373
3000,11.9093
3000,12.016
3000,11.9627
3000,12.048
3050,11.8767
3050,11.8505
3050,11.9449
3050,11.9869
3050,11.8033
3100,12
3100,11.9535
3100,12.0774
3100,11.871
3100,12.1497
3150,12.0279
3150,11.7892
3150,11.9467
3150,11.9162
3150,11.84
3200,12.165
3200,11.875
3200,11.965
3200,11.865
3200,11.82
3250,12.1009
3250,12.1058
3250,12.1797
3250,12.0123
3250,11.9483
3300,12.1309
3300,11.7964
3300,12.0582
3300,11.9661
3300,11.9564
3350,11.8878
3350,11.8066
3350,11.9069
3350,12.0645
3350,11.969
3400,12.0894
3400,12.0047
3400,12.1412
3400,12.0847
3400,11.9247
3450,11.8307
3450,12.0209
3450,12.0672
3450,12.2991
3450,12.058
3500,12.0457
3500,11.7897
3500,11.808
3500,12.0823
3500,11.8994
3550,11.7048
3550,11.9256
3550,12.0879
3550,12.0879
3550,11.8851
3600,12.1733
3600,12.0489
3600,11.9822
3600,12.1867
3600,11.8667
3650,12.0022
3650,11.9759
3650,11.9978
3650,12.0197
3650,11.8926
3700,11.8746
3700,11.7362
3700,12.16
3700,12.0692
3700,12.0432
3750,11.9296
3750,12.0533
3750,12.0533
3750,12.1387
3750,11.9424
3800,12.0084
3800,11.8653
3800,11.7432
3800,12.0968
3800,11.9326
3850,12.0062
3850,12.0104
3850,11.9522
3850,12.0603
3850,12.0519
3900,11.9344
3900,12.0985
3900,12.0738
3900,12.1231
3900,12.0779
3950,11.8886
3950,12.083
3950,12.2289
3950,12.0749
3950,12.1722
4000,11.82
4000,12.08
4000,11.908
4000,11.748
4000,12.016
4050,12.0336
4050,12.0968
4050,11.923
4050,11.9269
4050,12.1126
4100,12.0937
4100,12.0585
4100,12.1834
4100,11.9805
4100,11.9063
4150,12.1484
4150,11.9518
4150,11.9364
4150,11.9672
4150,11.9865
4200,11.8476
4200,12.099
4200,12
4200,11.9733
4200,12.1181
4250,12.0395
4250,12.1261
4250,12.1487
4250,11.9868
4250,11.8626
4300,12.1526
4300,11.9702
4300,11.9963
