n,int
50,2.01062
50,2.26195
50,1.63363
50,2.13628
50,1.82212
100,1.85354
100,2.1677
100,1.88496
100,2.01062
100,2.04204
150,2.03156
150,2.05251
150,1.9059
150,1.84307
150,2.05251
200,2.07345
200,1.9635
200,2.21482
200,2.08916
200,2.10487
250,2.08602
250,2.06088
250,2.14885
250,1.94779
250,2.06088
300,2.12581
300,2.12581
300,2.03156
300,1.96873
300,2.01062
350,1.96574
350,1.94779
350,1.89393
350,2.00164
350,2.12731
400,2.02633
400,1.99491
400,1.94779
400,1.9792
400,2.10487
450,2.03156
450,1.89194
450,1.94081
450,2.10836
450,1.96175
500,1.98549
500,1.96035
500,1.97292
500,2.11743
500,1.96035
550,2.04489
550,1.89067
550,1.91352
550,2.01633
550,2.06774
600,1.9635
600,1.94255
600,1.95302
600,2.03156
600,1.95826
650,2.02995
650,2.02512
650,1.98645
650,2.02029
650,2.09278
700,2.13628
700,2.02857
700,1.91637
700,1.96125
700,1.97472
750,2.03994
750,1.92684
750,2.03156
750,2.02737
750,2.00224
800,2.09701
800,1.95957
800,1.92423
800,2.01455
800,1.99491
850,1.94409
850,2.0291
850,1.95518
850,1.9367
850,2.01432
900,1.90939
900,1.96873
900,2.03156
900,1.99666
900,1.98968
950,2.01723
950,2.07676
950,1.92795
950,2.0007
950,2.02385
1000,2.02633
1000,1.96978
1000,2.07031
1000,1.96664
1000,2.02947
1050,1.99267
1050,2.02259
1050,2.00763
1050,2.10636
1050,2.02259
1100,1.92208
1100,1.89638
1100,1.96492
1100,2.03061
1100,2.05632
1150,2.01335
1150,2.02155
1150,1.98057
1150,2.01608
1150,1.95052
1200,1.9792
1200,2.04465
1200,1.94779
1200,1.96873
1200,1.96088
1250,1.92517
1250,1.97543
1250,2.01816
1250,2.07094
1250,1.96035
1300,2.0372
1300,2.00337
1300,1.92362
1300,2.04204
1300,2.03237
1350,1.97106
1350,2.01295
1350,1.93382
1350,2.00597
1350,2.0176
1400,2.07794
1400,2.0555
1400,2.03979
1400,2.02184
1400,1.97472
1450,1.99329
1450,2.00412
1450,1.99112
1450,2.06912
1450,1.97162
1500,1.9813
1500,1.96245
1500,1.99386
1500,1.98549
1500,1.99386
1550,1.99643
1550,2.03089
1550,1.95184
1550,1.92955
1550,1.98427
1600,2.00473
1600,1.96742
1600,1.9635
1600,2.03418
1600,1.98313
1650,1.99158
1650,1.98777
1650,2.0011
1650,1.98777
1650,1.96302
1700,1.94224
1700,1.92931
1700,2.03095
1700,2.00323
1700,1.99214
1750,1.89932
1750,2.01421
1750,1.9065
1750,2.02678
1750,1.99087
1800,2.01411
1800,1.98269
1800,1.98968
1800,1.93208
1800,2.00015
1850,2.04968
1850,1.97156
1850,1.98175
1850,2.01571
1850,2.05647
1900,1.98086
1900,2.04369
1900,1.99574
1900,1.99739
1900,1.94448
1950,2.04123
1950,1.99934
1950,2.00095
1950,1.96551
1950,1.99773
2000,2.02947
2000,2.04204
2000,1.93522
2000,2.02319
2000,2.05617
2050,1.98457
2050,1.95545
2050,2.00449
2050,2.02288
2050,1.9769
2100,2.02259
2100,2.00763
2100,2.00763
2100,2.03306
2100,2.02708
2150,1.99455
2150,1.92002
2150,1.97409
2150,2.00039
2150,1.95071
2200,1.92066
2200,2.02347
2200,2.00919
2200,1.97349
2200,2.01919
2250,2.06088
2250,1.96315
2250,2.04971
2250,2.0539
