n,p,tn
80000,0.1,113
80000,0.1,106
80000,0.1,107
80000,0.1,110
80000,0.1,125
80000,0.1,120
80000,0.1,112
80000,0.1,104
80000,0.1,104
80000,0.1,113
80000,0.1,124
80000,0.1,102
80000,0.1,100
80000,0.1,103
80000,0.1,180
80000,0.1,114
80000,0.1,104
80000,0.1,106
80000,0.1,115
80000,0.1,132
80000,0.1,106
80000,0.1,114
80000,0.1,135
80000,0.1,154
80000,0.1,116
80000,0.1,105
80000,0.1,109
80000,0.1,105
80000,0.1,100
80000,0.1,132
80000,0.1,123
80000,0.1,110
80000,0.1,103
80000,0.1,110
80000,0.1,122
80000,0.1,131
80000,0.1,133
80000,0.1,123
80000,0.1,93
80000,0.1,118
80000,0.1,117
80000,0.1,123
80000,0.1,105
80000,0.1,121
80000,0.1,113
80000,0.1,117
90000,0.1,107
90000,0.1,101
90000,0.1,114
90000,0.1,128
90000,0.1,102
90000,0.1,112
90000,0.1,112
90000,0.1,111
90000,0.1,117
90000,0.1,116
90000,0.1,106
90000,0.1,110
90000,0.1,100
90000,0.1,105
90000,0.1,121
90000,0.1,107
90000,0.1,113
90000,0.1,112
90000,0.1,99
90000,0.1,113
90000,0.1,112
90000,0.1,105
90000,0.1,113
90000,0.1,115
90000,0.1,101
90000,0.1,128
90000,0.1,131
90000,0.1,128
90000,0.1,107
90000,0.1,135
90000,0.1,169
90000,0.1,116
90000,0.1,111
90000,0.1,122
90000,0.1,115
90000,0.1,127
90000,0.1,110
90000,0.1,119
90000,0.1,113
90000,0.1,112
90000,0.1,112
90000,0.1,117
90000,0.1,108
90000,0.1,116
90000,0.1,117
90000,0.1,105
90000,0.1,106
90000,0.1,114
90000,0.1,119
90000,0.1,100
100000,0.1,130
100000,0.1,107
100000,0.1,94
100000,0.1,122
100000,0.1,134
100000,0.1,109
100000,0.1,114
100000,0.1,108
100000,0.1,113
100000,0.1,111
100000,0.1,113
100000,0.1,142
100000,0.1,112
100000,0.1,102
100000,0.1,112
100000,0.1,111
100000,0.1,127
100000,0.1,142
100000,0.1,124
100000,0.1,119
100000,0.1,97
100000,0.1,110
100000,0.1,120
100000,0.1,118
100000,0.1,112
100000,0.1,113
100000,0.1,115
100000,0.1,118
100000,0.1,126
100000,0.1,106
100000,0.1,123
100000,0.1,112
100000,0.1,105
100000,0.1,125
100000,0.1,120
100000,0.1,120
100000,0.1,109
100000,0.1,129
100000,0.1,129
100000,0.1,110
100000,0.1,123
100000,0.1,112
100000,0.1,160
100000,0.1,117
100000,0.1,111
100000,0.1,107
100000,0.1,130
100000,0.1,91
100000,0.1,127
100000,0.1,120
110000,0.1,110
110000,0.1,115
110000,0.1,102
110000,0.1,108
110000,0.1,110
110000,0.1,108
110000,0.1,106
110000,0.1,109
110000,0.1,103
110000,0.1,116
110000,0.1,106
110000,0.1,131
110000,0.1,104
110000,0.1,126
110000,0.1,110
110000,0.1,102
110000,0.1,105
110000,0.1,122
110000,0.1,106
110000,0.1,103
110000,0.1,112
110000,0.1,110
110000,0.1,124
110000,0.1,124
110000,0.1,117
110000,0.1,94
110000,0.1,102
110000,0.1,100
110000,0.1,121
110000,0.1,121
110000,0.1,105
110000,0.1,109
110000,0.1,104
110000,0.1,129
110000,0.1,108
110000,0.1,102
110000,0.1,118
110000,0.1,100
110000,0.1,113
110000,0.1,112
110000,0.1,151
110000,0.1,111
110000,0.1,107
110000,0.1,111
110000,0.1,108
110000,0.1,113
110000,0.1,149
110000,0.1,114
110000,0.1,108
110000,0.1,101
120000,0.1,122
120000,0.1,106
120000,0.1,113
120000,0.1,111
120000,0.1,128
120000,0.1,116
120000,0.1,115
120000,0.1,116
120000,0.1,100
120000,0.1,109
120000,0.1,94
120000,0.1,102
120000,0.1,126
120000,0.1,127
120000,0.1,106
120000,0.1,113
120000,0.1,116
120000,0.1,132
120000,0.1,119
120000,0.1,117
120000,0.1,137
120000,0.1,116
120000,0.1,103
120000,0.1,112
120000,0.1,106
120000,0.1,105
120000,0.1,123
120000,0.1,106
120000,0.1,120
120000,0.1,121
120000,0.1,112
120000,0.1,126
120000,0.1,122
120000,0.1,116
120000,0.1,116
120000,0.1,121
120000,0.1,120
120000,0.1,112
120000,0.1,121
120000,0.1,101
120000,0.1,113
120000,0.1,108
120000,0.1,107
120000,0.1,106
120000,0.1,104
120000,0.1,129
120000,0.1,125
120000,0.1,108
120000,0.1,105
120000,0.1,110
130000,0.1,115
130000,0.1,117
130000,0.1,111
130000,0.1,109
130000,0.1,137
130000,0.1,111
130000,0.1,118
130000,0.1,121
130000,0.1,123
130000,0.1,119
130000,0.1,117
130000,0.1,116
