n,cmp,s
6700,11143865,11137166
6700,11312292,11305593
6700,11215261,11208562
6700,11189839,11183140
6700,11285999,11279300
6700,11163350,11156651
6700,11235396,11228697
6700,11139069,11132370
6700,11317575,11310876
6700,11236356,11229657
6700,11180703,11174004
6700,11169686,11162987
6700,11235393,11228694
6700,11198977,11192278
6700,11326431,11319732
6700,11132874,11126175
6700,11417587,11410888
6700,11190182,11183483
6700,11185537,11178838
6700,11415860,11409161
6700,11285860,11279161
6700,11210275,11203576
6700,11415185,11408486
6700,11152402,11145703
6700,11216157,11209458
6700,11271733,11265034
6700,11280265,11273566
6700,11219819,11213120
6700,11168349,11161650
6700,11198949,11192250
6700,11105834,11099135
6700,11138631,11131932
6700,11252766,11246067
6700,11140730,11134031
6700,11285178,11278479
6700,11124883,11118184
6700,11331021,11324322
6700,11036436,11029737
6700,11165936,11159237
6700,11270606,11263907
6700,11464940,11458241
6700,11275151,11268452
6700,11116384,11109685
6700,11402320,11395621
6700,11175354,11168655
6700,11137073,11130374
6800,11705303,11698504
6800,11748750,11741951
6800,11596793,11589994
6800,11587812,11581013
6800,11625369,11618570
6800,11719976,11713177
6800,11544186,11537387
6800,11585016,11578217
6800,11560329,11553530
6800,11668301,11661502
6800,11571805,11565006
6800,11547846,11541047
6800,11502228,11495429
6800,11601350,11594551
6800,11533998,11527199
6800,11617680,11610881
6800,11555011,11548212
6800,11521835,11515036
6800,11450718,11443919
6800,11526536,11519737
6800,11573343,11566544
6800,11660545,11653746
6800,11737615,11730816
6800,11550564,11543765
6800,11584310,11577511
6800,11562447,11555648
6800,11522917,11516118
6800,11602327,11595528
6800,11453501,11446702
6800,11525957,11519158
6800,11732385,11725586
6800,11696453,11689654
6800,11511985,11505186
6800,11475474,11468675
6800,11490783,11483984
6800,11591873,11585074
6800,11708321,11701522
6800,11620668,11613869
6800,11490621,11483822
6800,11776959,11770160
6800,11610675,11603876
6800,11578815,11572016
6800,11557833,11551034
6800,11616682,11609883
6800,11519286,11512487
6800,11573595,11566796
6800,11702019,11695220
6800,11677207,11670408
6800,11424090,11417291
6800,11520737,11513938
6900,11832517,11825618
6900,11814471,11807572
6900,11918220,11911321
6900,11853288,11846389
6900,11880926,11874027
6900,11849170,11842271
6900,11832512,11825613
6900,11988683,11981784
6900,11860868,11853969
6900,12003229,11996330
6900,11821386,11814487
6900,11854594,11847695
6900,11998065,11991166
6900,11878155,11871256
6900,11943608,11936709
6900,11908790,11901891
6900,11906346,11899447
6900,11961679,11954780
6900,11944774,11937875
6900,11982355,11975456
6900,11813186,11806287
6900,12082980,12076081
6900,11788059,11781160
6900,11869028,11862129
6900,11933171,11926272
6900,11921002,11914103
6900,11853309,11846410
6900,11892763,11885864
6900,11975299,11968400
6900,12004442,11997543
6900,11841220,11834321
6900,11893923,11887024
6900,11938644,11931745
6900,11923801,11916902
6900,11847841,11840942
6900,11912059,11905160
6900,11916221,11909322
6900,11811009,11804110
6900,12051061,12044162
6900,11900413,11893514
6900,11954507,11947608
6900,11921015,11914116
6900,11862274,11855375
6900,11874752,11867853
6900,11729594,11722695
6900,11873588,11866689
6900,11954907,11948008
6900,11887612,11880713
6900,11987700,11980801
6900,11960453,11953554
7000,12054934,12047935
7000,12189335,12182336
7000,12196077,12189078
7000,12271221,12264222
7000,12344920,12337921
7000,12223446,12216447
7000,12256877,12249878
7000,12123604,12116605
7000,12349159,12342160
7000,12246008,12239009
7000,12449130,12442131
7000,12149978,12142979
7000,12166010,12159011
7000,12360005,12353006
7000,12167275,12160276
7000,12370304,12363305
7000,12157152,12150153
7000,12293317,12286318
7000,12156963,12149964
7000,12255825,12248826
7000,12284549,12277550
7000,12271364,12264365
7000,12280721,12273722
7000,12287171,12280172
7000,12201279,12194280
7000,12278735,12271736
7000,12363288,12356289
7000,12236690,12229691
7000,12205117,12198118
7000,12306315,12299316
7000,12150455,12143456
7000,12203983,12196984
7000,12208735,12201736
7000,12272612,12265613
7000,12252001,12245002
7000,12388006,12381007
7000,12377362,12370363
7000,12314200,12307201
7000,12203448,12196449
7000,12398796,12391797
7000,12135554,12128555
7000,12272570,12265571
7000,12188846,12181847
7000,12448532,12441533
7000,12179216,12172217
7000,12114226,12107227
7000,12400939,12393940
7000,12349394,12342395
7000,12322566,12315567
7000,12206720,12199721
7100,12574587,12567488
7100,12692850,12685751
7100,12455976,12448877
7100,12671559,12664460
7100,12628740,12621641
7100,12565238,12558139
7100,12590971,12583872
7100,12662943,12655844
7100,12451160,12444061
7100,12626280,12619181
7100,12594730,12587631
7100,12524403,12517304
7100,12536726,12529627
7100,12717882,12710783
7100,12608307,12601208
7100,12687720,12680621
7100,12590063,12582964
7100,12605094,12597995
7100,12521278,12514179
7100,12422595,12415496
7100,12503944,12496845
7100,12606290,12599191
7100,12634582,12627483
7100,12549858,12542759
7100,12705489,12698390
7100,12588197,12581098
7100,12738618,12731519
7100,12616564,12609465
7100,12660686,12653587
7100,12627348,12620249
7100,12662398,12655299
7100,12782620,12775521
7100,12632830,12625731
7100,12441448,12434349
7100,12569161,12562062
7100,12646977,12639878
7100,12406848,12399749
7100,12538737,12531638
7100,12668463,12661364
7100,12499685,12492586
7100,12614921,12607822
7100,12662557,12655458
7100,12713736,12706637
7100,12434217,12427118
7100,12459997,12452898
7100,12523791,12516692
7100,12637193,12630094
7100,12597687,12590588
7100,12593994,12586895
7100,12561237,12554138
7200,12877765,12870566
7200,12933587,12926388
7200,12917171,12909972
7200,13055154,13047955
7200,13108288,13101089
7200,12916467,12909268
7200,12810974,12803775
7200,13068872,13061673
7200,12952641,12945442
7200,13054699,13047500
7200,12901502,12894303
7200,12996316,12989117
7200,12821931,12814732
7200,12914179,12906980
7200,12920765,12913566
7200,12968791,12961592
7200,12905002,12897803
7200,13115919,13108720
7200,12819214,12812015
7200,12842990,12835791
7200,13000737,12993538
7200,12801326,12794127
7200,13018997,13011798
7200,13033348,13026149
7200,13173629,13166430
7200,12914417,12907218
7200,12849290,12842091
7200,12711808,12704609
7200,12976217,12969018
7200,12971395,12964196
7200,12810290,12803091
7200,12965834,12958635
7200,12928913,12921714
7200,13133434,13126235
7200,12920703,12913504
7200,12866412,12859213
7200,12902229,12895030
7200,12820848,12813649
7200,13028696,13021497
7200,12797987,12790788
7200,13097094,13089895
7200,13075046,13067847
7200,12883324,12876125
7200,13012470,13005271
7200,12929191,12921992
7200,12959784,12952585
7200,13093258,13086059
7200,12868795,12861596
7200,12955081,12947882
7200,13251130,13243931
7300,13288170,13280871
7300,13548818,13541519
7300,13305290,13297991
7300,13299677,13292378
7300,13146071,13138772
7300,13326662,13319363
7300,13209051,13201752
7300,13421701,13414402
7300,13294466,13287167
7300,13336574,13329275
7300,13267175,13259876
7300,13208737,13201438
7300,13074142,13066843
7300,13402990,13395691
7300,13305677,13298378
7300,13266652,13259353
7300,13385677,13378378
7300,13203645,13196346
7300,13208079,13200780
7300,13274031,13266732
7300,13255559,13248260
7300,13361056,13353757
7300,13566914,13559615
7300,13454627,13447328
7300,13124807,13117508
7300,13299332,13292033
7300,13295894,13288595
7300,13413115,13405816
7300,13324471,13317172
7300,13305570,13298271
7300,13432291,13424992
7300,13251258,13243959
7300,13348513,13341214
7300,13187067,13179768
7300,13321422,13314123
7300,13318213,13310914
7300,13351484,13344185
7300,13190946,13183647
7300,13257316,13250017
7300,13359661,13352362
7300,13398486,13391187
7300,13203929,13196630
7300,13440752,13433453
7300,13363463,13356164
7300,13295796,13288497
7300,13456169,13448870
7300,13376223,13368924
7300,13321595,13314296
7300,13223513,13216214
7300,13367377,13360078
7400,13578913,13571514
7400,13755338,13747939
7400,13825654,13818255
7400,13593214,13585815
7400,13566444,13559045
7400,13648397,13640998
7400,13620719,13613320
7400,13876053,13868654
7400,13607320,13599921
7400,13622119,13614720
7400,13633886,13626487
7400,13838696,13831297
7400,13890880,13883481
7400,13423757,13416358
7400,13815386,13807987
7400,13640556,13633157
7400,13604323,13596924
7400,13651588,13644189
7400,13776291,13768892
7400,13680541,13673142
7400,13618376,13610977
7400,13666933,13659534
7400,13547245,13539846
7400,13551885,13544486
7400,13861767,13854368
7400,13581176,13573777
7400,13585018,13577619
7400,13633069,13625670
7400,13637208,13629809
7400,13504295,13496896
7400,13746764,13739365
7400,13745315,13737916
7400,13831461,13824062
7400,13617839,13610440
7400,13777231,13769832
7400,13603197,13595798
7400,13819133,13811734
7400,13513718,13506319
7400,13514090,13506691
7400,13642695,13635296
7400,13572159,13564760
7400,13730016,13722617
7400,13859293,13851894
7400,13676512,13669113
7400,13622511,13615112
7400,13738099,13730700
7400,13815480,13808081
7400,13711088,13703689
7400,13759093,13751694
7400,13655419,13648020
7500,13954284,13946785
7500,14097490,14089991
7500,14255436,14247937
7500,14011724,14004225
7500,14078493,14070994
7500,14171007,14163508
7500,14105836,14098337
7500,14073803,14066304
7500,13989400,13981901
7500,14143330,14135831
7500,14037087,14029588
7500,14264922,14257423
7500,14176355,14168856
7500,13993105,13985606
7500,14151032,14143533
7500,13994886,13987387
7500,14005311,13997812
7500,14034497,14026998
7500,14168212,14160713
7500,13930319,13922820
7500,13937423,13929924
7500,14193521,14186022
7500,14037243,14029744
7500,13898285,13890786
7500,13976850,13969351
7500,14062333,14054834
7500,13882852,13875353
7500,13924714,13917215
7500,14054566,14047067
7500,14102354,14094855
7500,14074295,14066796
7500,14056305,14048806
7500,14077156,14069657
7500,14017214,14009715
7500,14159498,14151999
7500,14121318,14113819
7500,14058102,14050603
7500,14160673,14153174
7500,14293741,14286242
7500,14074724,14067225
7500,13982949,13975450
7500,14088328,14080829
7500,14166008,14158509
7500,13855029,13847530
7500,14021825,14014326
7500,14243198,14235699
7500,14064377,14056878
7500,14197040,14189541
7500,14078894,14071395
7500,14040701,14033202
7600,14427436,14419837
7600,14449681,14442082
7600,14236933,14229334
7600,14521962,14514363
7600,14334556,14326957
7600,14289320,14281721
7600,14255509,14247910
7600,14386753,14379154
7600,14467290,14459691
7600,14436670,14429071
7600,14525120,14517521
7600,14478925,14471326
7600,14550468,14542869
7600,14432412,14424813
7600,14336203,14328604
7600,14607360,14599761
7600,14187142,14179543
7600,14489317,14481718
7600,14447015,14439416
7600,14354036,14346437
7600,14499251,14491652
7600,14301678,14294079
7600,14303345,14295746
7600,14503055,14495456
7600,14306938,14299339
7600,14356041,14348442
7600,14228736,14221137
7600,14376551,14368952
7600,14547601,14540002
7600,14491664,14484065
7600,14388271,14380672
7600,14368683,14361084
7600,14251850,14244251
7600,14498026,14490427
7600,14483990,14476391
7600,14498761,14491162
7600,14500359,14492760
7600,14340301,14332702
7600,14376501,14368902
7600,14730209,14722610
7600,14414491,14406892
7600,14421526,14413927
7600,14425948,14418349
7600,14315876,14308277
7600,14495147,14487548
7600,14398262,14390663
7600,14341356,14333757
7600,14668132,14660533
7600,14524980,14517381
7600,14324397,14316798
7700,14801353,14793654
7700,14826720,14819021
7700,14996466,14988767
7700,14911801,14904102
7700,14639387,14631688
7700,14618607,14610908
7700,14694538,14686839
7700,14952016,14944317
7700,14959524,14951825
7700,15021838,15014139
7700,14868081,14860382
7700,14923149,14915450
7700,14807893,14800194
7700,14968012,14960313
7700,14810461,14802762
7700,14714383,14706684
7700,14770520,14762821
7700,14894892,14887193
7700,14749619,14741920
7700,14893613,14885914
7700,14824906,14817207
7700,15038400,15030701
7700,14828637,14820938
7700,14723973,14716274
7700,14969141,14961442
7700,14859416,14851717
7700,14965844,14958145
7700,14723991,14716292
7700,14723938,14716239
7700,14916592,14908893
7700,15037928,15030229
7700,14624791,14617092
7700,14973893,14966194
7700,14932589,14924890
7700,14804962,14797263
7700,14827629,14819930
7700,14948485,14940786
7700,14546816,14539117
7700,14748817,14741118
7700,14880147,14872448
7700,14672633,14664934
7700,14984719,14977020
7700,14872022,14864323
7700,14872936,14865237
7700,14800083,14792384
7700,14831332,14823633
7700,14841913,14834214
7700,14876028,14868329
7700,14970950,14963251
7700,14816646,14808947
7800,15344082,15336283
7800,15169424,15161625
7800,15263247,15255448
7800,15109373,15101574
7800,15144296,15136497
7800,15241972,15234173
7800,15383555,15375756
7800,15110139,15102340
7800,15228342,15220543
7800,14972196,14964397
7800,15370614,15362815
7800,15177003,15169204
7800,15280791,15272992
7800,15084110,15076311
7800,15175611,15167812
7800,15261176,15253377
7800,15298408,15290609
7800,15151278,15143479
7800,15090491,15082692
7800,15246408,15238609
7800,14988171,14980372
7800,15393405,15385606
7800,15338048,15330249
7800,15149687,15141888
7800,15356663,15348864
7800,15356669,15348870
7800,15133995,15126196
7800,15293389,15285590
7800,15168363,15160564
7800,15075362,15067563
7800,15166825,15159026
7800,15284336,15276537
7800,15271116,15263317
7800,15122948,15115149
7800,15219570,15211771
7800,15007673,14999874
7800,15160863,15153064
7800,15150713,15142914
7800,15378886,15371087
7800,15169770,15161971
7800,15358842,15351043
7800,15056777,15048978
7800,15073287,15065488
7800,15189014,15181215
7800,15445901,15438102
7800,15132861,15125062
7800,15197081,15189282
7800,15187752,15179953
7800,15246532,15238733
7800,15341406,15333607
7900,15666184,15658285
7900,15863851,15855952
7900,15549536,15541637
7900,15617977,15610078
7900,15478497,15470598
7900,15501989,15494090
7900,15643358,15635459
7900,15580939,15573040
7900,15564253,15556354
7900,15510962,15503063
7900,15551155,15543256
7900,15562825,15554926
7900,15727719,15719820
7900,15599682,15591783
7900,15665989,15658090
7900,15534432,15526533
7900,15648707,15640808
7900,15547653,15539754
7900,15631569,15623670
7900,15632682,15624783
7900,15413443,15405544
7900,15664195,15656296
7900,15785264,15777365
7900,15549050,15541151
7900,15680208,15672309
7900,15651144,15643245
7900,15701547,15693648
7900,15631538,15623639
7900,15598562,15590663
7900,15631980,15624081
7900,15767214,15759315
7900,15593549,15585650
7900,15473981,15466082
7900,15711674,15703775
7900,15618303,15610404
7900,15651444,15643545
7900,15534467,15526568
7900,15371544,15363645
7900,15412043,15404144
7900,15637355,15629456
7900,15631631,15623732
7900,15594458,15586559
7900,15399375,15391476
7900,15653167,15645268
7900,15501480,15493581
7900,15498048,15490149
7900,15413912,15406013
7900,15543914,15536015
7900,15666144,15658245
7900,15584498,15576599
8000,16144632,16136633
8000,15892951,15884952
8000,16009003,16001004
8000,16178681,16170682
8000,15999764,15991765
8000,16208150,16200151
8000,16004870,15996871
8000,16013562,16005563
8000,15931537,15923538
8000,16030400,16022401
8000,16099122,16091123
8000,15990881,15982882
8000,16121831,16113832
8000,16093975,16085976
8000,16060745,16052746
8000,15900916,15892917
8000,16015754,16007755
8000,16199486,16191487
8000,16011036,16003037
8000,15839374,15831375
8000,16017674,16009675
8000,15900288,15892289
8000,16332154,16324155
8000,15952162,15944163
8000,16103710,16095711
8000,16028268,16020269
8000,16077303,16069304
8000,16132701,16124702
8000,15872126,15864127
8000,16050932,16042933
8000,15969040,15961041
8000,16052072,16044073
8000,16019744,16011745
8000,15892135,15884136
8000,16011141,16003142
8000,16092112,16084113
8000,15946331,15938332
8000,15895655,15887656
8000,16093531,16085532
8000,16000354,15992355
8000,15807584,15799585
8000,15970473,15962474
8000,16105973,16097974
8000,16082687,16074688
8000,15934739,15926740
8000,15974440,15966441
8000,15990241,15982242
8000,15946343,15938344
8000,16097985,16089986
8000,16009228,16001229
8100,16365354,16357255
8100,16512302,16504203
8100,16447854,16439755
8100,16460002,16451903
8100,16491808,16483709
8100,16198356,16190257
8100,16367921,16359822
8100,16407066,16398967
8100,16508722,16500623
8100,16569728,16561629
8100,16424493,16416394
8100,16626212,16618113
8100,16348363,16340264
8100,16178602,16170503
8100,16330426,16322327
8100,16186438,16178339
8100,16087386,16079287
8100,16387740,16379641
8100,16485078,16476979
8100,16471241,16463142
8100,16335851,16327752
8100,16373670,16365571
8100,16367260,16359161
8100,16431335,16423236
8100,16395277,16387178
8100,16405553,16397454
8100,16412615,16404516
8100,16183214,16175115
8100,16449766,16441667
8100,16464301,16456202
8100,16345286,16337187
8100,16365637,16357538
8100,16497913,16489814
8100,16361681,16353582
8100,16548349,16540250
8100,16402874,16394775
8100,16305353,16297254
8100,16309576,16301477
8100,16287017,16278918
8100,16335728,16327629
8100,16333597,16325498
8100,16480826,16472727
8100,16450874,16442775
8100,16269496,16261397
8100,16512973,16504874
8100,16257416,16249317
8100,16288548,16280449
8100,16463018,16454919
8100,16425210,16417111
8100,16493269,16485170
8200,16895357,16887158
8200,16955882,16947683
8200,16816648,16808449
8200,16725600,16717401
8200,16799223,16791024
8200,16929164,16920965
8200,16646631,16638432
8200,17086933,17078734
8200,16952641,16944442
8200,16816409,16808210
8200,16970898,16962699
8200,16673895,16665696
8200,16761223,16753024
8200,16729869,16721670
8200,16891841,16883642
8200,16852831,16844632
8200,16901080,16892881
8200,16832995,16824796
8200,16817874,16809675
8200,16913609,16905410
8200,16840803,16832604
8200,17089551,17081352
8200,16791815,16783616
8200,16799207,16791008
8200,16851704,16843505
8200,16974667,16966468
8200,17035323,17027124
8200,16923161,16914962
8200,16806129,16797930
8200,16886751,16878552
8200,16891364,16883165
8200,16681478,16673279
8200,16785156,16776957
8200,16808431,16800232
8200,16784311,16776112
8200,17044611,17036412
8200,16821332,16813133
8200,16793809,16785610
8200,16947791,16939592
8200,16825076,16816877
8200,16661170,16652971
8200,17047657,17039458
8200,16723118,16714919
8200,16696308,16688109
8200,16835218,16827019
8200,16762377,16754178
8200,16769802,16761603
8200,16802855,16794656
8200,16836417,16828218
8200,16931814,16923615
8300,17324470,17316171
8300,17344235,17335936
8300,17172082,17163783
8300,17214443,17206144
8300,17049608,17041309
8300,17154610,17146311
8300,17387769,17379470
8300,17152837,17144538
8300,17209966,17201667
8300,17188485,17180186
8300,17066171,17057872
8300,17198617,17190318
8300,17158716,17150417
8300,17021282,17012983
8300,16979457,16971158
8300,17340096,17331797
8300,17279663,17271364
8300,17072202,17063903
8300,17449705,17441406
8300,17270236,17261937
8300,17392940,17384641
8300,17154592,17146293
8300,16985578,16977279
8300,17120570,17112271
8300,17208416,17200117
8300,17225707,17217408
8300,17314993,17306694
8300,17278444,17270145
8300,17222691,17214392
8300,17319633,17311334
8300,17265455,17257156
8300,17253427,17245128
8300,17072408,17064109
8300,17284951,17276652
8300,17164469,17156170
8300,17203582,17195283
8300,17303688,17295389
8300,17194021,17185722
8300,17227136,17218837
8300,17355079,17346780
8300,17575902,17567603
8300,16972013,16963714
8300,17427434,17419135
8300,17328642,17320343
8300,17224263,17215964
8300,17417598,17409299
8300,17041962,17033663
8300,17234150,17225851
8300,17163103,17154804
8300,17270703,17262404
8400,17450705,17442306
8400,17703174,17694775
8400,17535147,17526748
8400,17563255,17554856
8400,17712376,17703977
8400,17816062,17807663
8400,17445488,17437089
8400,17616271,17607872
8400,17446999,17438600
8400,17464714,17456315
8400,17433610,17425211
8400,17752764,17744365
8400,17426356,17417957
8400,17463929,17455530
8400,17950370,17941971
8400,17706032,17697633
8400,17521707,17513308
8400,17492666,17484267
8400,17853665,17845266
8400,17693321,17684922
8400,17364178,17355779
8400,17700666,17692267
8400,17664062,17655663
8400,17613799,17605400
8400,17364793,17356394
8400,17479923,17471524
8400,17739416,17731017
8400,17565913,17557514
8400,17663322,17654923
8400,17507660,17499261
8400,17499894,17491495
8400,17737648,17729249
8400,17791790,17783391
8400,17882319,17873920
8400,17662220,17653821
8400,17546516,17538117
8400,17537966,17529567
8400,17714087,17705688
8400,17774261,17765862
8400,17848121,17839722
8400,17879033,17870634
8400,17443259,17434860
8400,17585775,17577376
8400,17600718,17592319
8400,17750868,17742469
8400,17425912,17417513
8400,17679893,17671494
8400,17797954,17789555
8400,17629581,17621182
8400,17650216,17641817
8500,18102947,18094448
8500,18189942,18181443
8500,18070578,18062079
8500,18229825,18221326
8500,18089670,18081171
8500,18164705,18156206
8500,18106021,18097522
8500,18253968,18245469
8500,18074705,18066206
8500,18151843,18143344
8500,18045478,18036979
8500,18051224,18042725
8500,17857671,17849172
8500,18083797,18075298
8500,17998096,17989597
8500,18308158,18299659
8500,17905872,17897373
8500,18039297,18030798
8500,18181904,18173405
8500,17723448,17714949
8500,18046890,18038391
8500,18127240,18118741
8500,17935099,17926600
8500,17873836,17865337
8500,18133127,18124628
8500,18122747,18114248
8500,17807947,17799448
8500,17871153,17862654
8500,17990831,17982332
8500,18032685,18024186
8500,17985322,17976823
8500,18180281,18171782
8500,18096821,18088322
8500,18461481,18452982
8500,18102043,18093544
8500,18055526,18047027
8500,18100501,18092002
8500,18065225,18056726
8500,18081414,18072915
8500,18162161,18153662
8500,18371721,18363222
8500,18176038,18167539
8500,17906948,17898449
8500,18263128,18254629
8500,18079688,18071189
8500,17923399,17914900
8500,18152226,18143727
8500,18016352,18007853
8500,17960992,17952493
8500,17884184,17875685
8600,18457353,18448754
8600,18546776,18538177
8600,18291780,18283181
8600,18385406,18376807
8600,18087544,18078945
8600,18497331,18488732
8600,18394946,18386347
8600,18632280,18623681
8600,18551666,18543067
8600,18782429,18773830
8600,18413500,18404901
8600,18559076,18550477
8600,18602860,18594261
8600,18880709,18872110
8600,18560072,18551473
8600,18608996,18600397
8600,18515005,18506406
8600,18464167,18455568
8600,18347364,18338765
8600,18613639,18605040
8600,18546065,18537466
8600,18644919,18636320
8600,18594376,18585777
8600,18276565,18267966
8600,18505675,18497076
8600,18429468,18420869
8600,18468345,18459746
8600,18518387,18509788
8600,18298348,18289749
8600,18527571,18518972
8600,18536883,18528284
8600,18538792,18530193
8600,18451955,18443356
8600,18643729,18635130
8600,18580501,18571902
8600,18411093,18402494
8600,18609760,18601161
8600,18816960,18808361
8600,18458152,18449553
8600,18432207,18423608
8600,18591914,18583315
8600,18498978,18490379
8600,18454487,18445888
8600,18326928,18318329
8600,18757605,18749006
8600,18314655,18306056
8600,18491934,18483335
8600,18608213,18599614
8600,18450086,18441487
8600,18533052,18524453
8700,18995721,18987022
8700,18868435,18859736
8700,19098453,19089754
8700,18928473,18919774
8700,18620179,18611480
8700,18865613,18856914
8700,19062497,19053798
8700,18963344,18954645
8700,18805925,18797226
8700,18806516,18797817
8700,18667153,18658454
8700,19079004,19070305
8700,19006180,18997481
8700,18766496,18757797
8700,18883437,18874738
8700,19119267,19110568
8700,18737771,18729072
8700,18735672,18726973
8700,19044794,19036095
8700,18810630,18801931
8700,18926909,18918210
8700,18971939,18963240
8700,18846855,18838156
8700,18874560,18865861
8700,18813996,18805297
8700,18891728,18883029
8700,19097461,19088762
8700,18813685,18804986
8700,18839400,18830701
8700,18922864,18914165
8700,18830779,18822080
8700,18947758,18939059
8700,19011719,19003020
8700,19005830,18997131
8700,19030596,19021897
8700,18917761,18909062
8700,18871755,18863056
8700,18976468,18967769
8700,18897548,18888849
8700,18992871,18984172
8700,18810029,18801330
8700,18652115,18643416
8700,18646462,18637763
8700,18916176,18907477
8700,19058099,19049400
8700,18925411,18916712
8700,18986972,18978273
8700,18755744,18747045
8700,18987671,18978972
8700,19037966,19029267
8800,19456562,19447763
8800,19295013,19286214
8800,19098620,19089821
8800,19707451,19698652
8800,19319869,19311070
8800,19108706,19099907
8800,19439907,19431108
8800,19262522,19253723
8800,19152017,19143218
8800,19664019,19655220
8800,19338912,19330113
8800,19319272,19310473
8800,19241950,19233151
8800,19229345,19220546
8800,19345895,19337096
8800,19267638,19258839
8800,19415373,19406574
8800,19416645,19407846
8800,19564844,19556045
8800,19234467,19225668
8800,19417882,19409083
8800,19374106,19365307
8800,19122294,19113495
8800,19320266,19311467
8800,19242735,19233936
8800,19240805,19232006
8800,19107668,19098869
8800,19098863,19090064
8800,19512219,19503420
8800,19324244,19315445
8800,19467435,19458636
8800,19355931,19347132
8800,19362298,19353499
8800,19525895,19517096
8800,19251187,19242388
8800,19479576,19470777
8800,19492207,19483408
8800,19546251,19537452
8800,19403331,19394532
8800,19380060,19371261
8800,19231884,19223085
8800,19644575,19635776
8800,19244569,19235770
8800,19380590,19371791
8800,19281305,19272506
8800,19337252,19328453
8800,19469797,19460998
8800,19328156,19319357
8800,19288559,19279760
8800,19319120,19310321
8900,19727286,19718387
8900,19905989,19897090
8900,19922319,19913420
8900,19538323,19529424
8900,19838979,19830080
8900,19976506,19967607
8900,19861025,19852126
8900,19710692,19701793
8900,19697662,19688763
8900,20211286,20202387
8900,19872080,19863181
8900,19851770,19842871
8900,19755018,19746119
8900,19505632,19496733
8900,19778424,19769525
8900,19838946,19830047
8900,19692141,19683242
8900,19820594,19811695
8900,20065150,20056251
8900,19534212,19525313
8900,19731405,19722506
8900,19805698,19796799
8900,19941302,19932403
8900,20175518,20166619
8900,20036885,20027986
8900,19696744,19687845
8900,19720862,19711963
8900,20046722,20037823
8900,19686569,19677670
8900,19812805,19803906
8900,20047922,20039023
8900,19756004,19747105
8900,19691869,19682970
8900,20005723,19996824
8900,19794389,19785490
8900,19764297,19755398
8900,19807770,19798871
8900,19883274,19874375
8900,19383386,19374487
8900,19868067,19859168
8900,19945143,19936244
8900,19749735,19740836
8900,19549207,19540308
8900,19848982,19840083
8900,19900599,19891700
8900,19705804,19696905
8900,20070365,20061466
8900,19765345,19756446
8900,19593645,19584746
8900,19823278,19814379
9000,20128063,20119064
9000,20382179,20373180
9000,20316321,20307322
9000,20378232,20369233
9000,20368244,20359245
9000,20088424,20079425
9000,20048766,20039767
9000,20293257,20284258
9000,20136987,20127988
9000,20337106,20328107
9000,20547509,20538510
9000,20337682,20328683
9000,20376755,20367756
9000,20576806,20567807
9000,19806336,19797337
9000,20201015,20192016
9000,20250410,20241411
9000,20477045,20468046
9000,20310421,20301422
9000,20379782,20370783
9000,20166709,20157710
9000,19947302,19938303
9000,20098475,20089476
9000,20414803,20405804
9000,20097692,20088693
9000,20323989,20314990
9000,20362127,20353128
9000,20187652,20178653
9000,20042725,20033726
9000,20193407,20184408
9000,20218703,20209704
9000,20109649,20100650
9000,20149753,20140754
9000,20390736,20381737
9000,20690177,20681178
9000,20233608,20224609
9000,20273382,20264383
9000,20130359,20121360
9000,20366516,20357517
9000,20207958,20198959
9000,20121599,20112600
9000,20114662,20105663
9000,20297858,20288859
9000,20257487,20248488
9000,20497974,20488975
9000,20210472,20201473
9000,20280780,20271781
9000,20243888,20234889
9000,20242236,20233237
9000,20545917,20536918
9100,20956916,20947817
9100,20895350,20886251
9100,20852740,20843641
9100,20657279,20648180
9100,20552480,20543381
9100,20669048,20659949
9100,20555523,20546424
9100,20749235,20740136
9100,20658331,20649232
9100,20639979,20630880
9100,20447442,20438343
9100,20561405,20552306
9100,20941687,20932588
9100,20486516,20477417
9100,20747662,20738563
9100,20589941,20580842
9100,20789406,20780307
9100,20647127,20638028
9100,20842574,20833475
9100,20892572,20883473
9100,20955343,20946244
9100,20762444,20753345
9100,20777860,20768761
9100,20860430,20851331
9100,20761673,20752574
9100,20691109,20682010
9100,20675844,20666745
9100,20923472,20914373
9100,20564953,20555854
9100,20774541,20765442
9100,20944416,20935317
9100,20595716,20586617
9100,20665430,20656331
9100,20844125,20835026
9100,20679439,20670340
9100,20712541,20703442
9100,20444299,20435200
9100,20448231,20439132
9100,21078914,21069815
9100,20604219,20595120
9100,20652150,20643051
9100,20684520,20675421
9100,20696039,20686940
9100,20798475,20789376
9100,20786463,20777364
9100,20420568,20411469
9100,20613099,20604000
9100,20764081,20754982
9100,20974314,20965215
9100,20728969,20719870
9200,20945824,20936625
9200,21403575,21394376
9200,21048148,21038949
9200,21232493,21223294
9200,20973202,20964003
9200,20949838,20940639
9200,21389558,21380359
9200,21296698,21287499
9200,21121713,21112514
9200,21199375,21190176
9200,21141303,21132104
9200,21279324,21270125
9200,21493261,21484062
9200,20899493,20890294
9200,21054571,21045372
9200,21095470,21086271
9200,21167199,21158000
9200,21384867,21375668
9200,20950401,20941202
9200,21175223,21166024
9200,21184283,21175084
9200,20881456,20872257
9200,21275895,21266696
9200,21278029,21268830
9200,21199026,21189827
9200,21105797,21096598
